,imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_direct_emissions,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
1071,9176606,ASIAN EMPIRE,Ro-ro ship,2018.0,,Jeju,,,07/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,4381.47,,13713.45,2353.97,8623.18,2451.45,284.86,,,,2215.2,134.5,17.76,,,,,420.95,55.58,,,,,,2215.2,,,,,,,,,,,,,,,,
1072,9176632,ASIAN EMPEROR,Ro-ro ship,2018.0,Not Applicable,Jeju,,,24/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,4271.7,,13325.15,2498.28,5113.14,5618.81,94.92,,,,2829.6,108.05,19.91,,,,,337.05,62.11,,,,,,2829.6,,,,,,,,,,,,,,,,
1088,9178599,ELYROS,Ro-pax ship,2018.0,EIV (19.26 gCO₂/t·nm),Chania 31,,,25/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,16708.05,,52072.85,28392.74,9227.69,9274.4,4299.87,1163.59,50909.26,,4204.35,199.44,,,,6.85,93.51,621.58,,,,21.34,291.43,,4204.35,,,,,,,,,,,,,,,,
1093,9179660,TERA JET,Ro-pax ship,2018.0,EIV (446.31 gCO₂/t·nm),LIMASSOL,,,05/07/2019,30/06/2020,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"9, KAREA str",ATHENS,874-4,Greece,Yes,,,,8006.3,,25668.2,25668.2,0.0,0.0,0.0,,,,773.0,341.55,,,,0.0,0.0,1095.01,,,,0.0,0.0,,773.0,,,,,,,,,,,,,,,,
1097,9179842,FLEET STAR,Ro-ro ship,2018.0,Not Applicable,Monrovia,,IA,30/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,706.7,,2235.5,158.38,1187.66,231.08,658.39,,,,788.67,67.45,888.6,,,,,213.37,2810.92,,,,,0.0,788.67,0.0,,,,,,,,,,,,,,,
1098,9179854,ADLER,Ro-ro ship,2018.0,Not Applicable,St Petersburg,,,16/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,564.25,,1792.11,475.7,686.12,561.04,69.25,,,,1438.7,57.86,146.71,,,,,183.76,465.98,,,,,,1438.7,,,,,,,,,,,,,,,,
1111,9181091,ZURBARAN,Ro-pax ship,2018.0,0 gCO₂/t·nm,,,,24/05/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,,,15438.48,,48160.88,45183.1,0.0,0.0,2977.8,48160.88,48160.88,,4859.0,178.14,,,,3.19,0.56,555.7,,,,9.96,1.75,,4859.0,,,,,,,,,,,,,,,,
1122,9181558,LEO LEADER,Ro-ro ship,2018.0,Not Applicable,Panama,,,29/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,2617.98,,8196.43,3381.05,3073.59,1704.0,37.79,,,,2247.6,84.28,20.12,,,,,263.86,62.99,,,,,,2247.6,,,,,,,,,,,,,,,,
1143,9183855,EUROPA,Passenger ship,2018.0,EEDI (10.43 gCO₂/t·nm),Nassau,,,26/06/2019,30/06/2020,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,Yes,,,4980.21,,15846.14,12325.04,617.56,397.53,2506.0,,,,2460.68,149.37,,,,434.62,,475.25,,,,1382.89,,,2460.68,,,,,,,,,,,,,,,,
1144,9183984,CELANDINE,Ro-ro ship,2018.0,Not Applicable,Valletta,,IC,30/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,4163.51,,13119.28,11748.0,0.0,163.06,1208.21,,,,3134.47,96.84,29.17,,,,,305.14,91.92,,,,,,3134.47,,,,,,,,,,,,,,,,
1145,9184029,VICTORINE,Ro-ro ship,2018.0,Not Applicable,Antwerp,,IC,02/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,7091.92,,22346.64,20742.15,0.0,0.0,1604.49,,,,5283.55,94.57,24.4,,,,,297.98,76.88,,,,,0.0,5283.55,0.0,,,,,,,,,,,,,,,
1147,9184419,EXCELSIOR,Ro-pax ship,2018.0,EIV (25.93 gCO₂/t·nm),Palermo,Palermo,,03/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,Yes,,,30796.73,,95997.5,75505.0,8328.0,8244.0,3919.0,88981.72,7015.78,,6326.0,230.56,,,,329.82,0.02,718.7,,,,1028.09,0.07,,6326.0,,,,,,,,,,,,,,,,
1148,9184859,TREASURE,Ro-ro ship,2018.0,,,,,02/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,1235.0,,3865.22,142.99,142.99,1309.51,40.05,,,,727.4,128.77,19.04,,,,,403.0,59.59,,,,,,727.4,,,,,,,,,,,,,,,,
1151,9185396,CARTHAGE,Ro-pax ship,2018.0,EIV (5.22 gCO₂/t·nm),La Goulette,La Goulette,,15/05/2019,30/06/2020,,VERIFAVIA SARL,COFRAC,33 Avenue du Maine,Paris,4-0596,France,,Yes,Yes,,22738.73,,70839.08,0.0,35117.0,34677.0,1045.32,62228.59,7565.17,,4688.23,231.69,,,,3135.75,359.18,721.81,,,,9764.8,1118.51,,4688.23,,,,,,,,,,,,,,,,
1168,9186417,FRIEDRICH RUSS,Ro-ro ship,2018.0,,,,IA Supper,05/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,9558.6,,29809.1,29091.96,0.0,0.0,717.14,,,,6903.3,89.63,,26.88,,,,279.51,,83.83,,,,0.0,6903.3,0.0,,,,,,,,,,,,,,,
1169,9186429,ELISABETH RUSS,Ro-ro ship,2018.0,,,,IA Supper,05/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,6545.9,,20440.4,19384.19,0.0,0.0,1056.21,,,,5159.43,88.36,,66.36,,,,275.91,,207.2,,,,0.0,5159.43,0.0,,,,,,,,,,,,,,,
1171,9186649,ANGLIA SEAWAYS,Ro-ro ship,2018.0,EIV (19.55 gCO₂/t·nm),København,København,,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,5895.85,,18429.61,16145.4,0.0,0.0,2284.21,,,,5280.1,88.35,50.85,,,,,276.17,158.94,,,,,,5280.1,,,,,,,,,,,,,,,,
1177,9187318,L'AUDACE,Ro-ro ship,2018.0,EIV (20.43 gCO₂/t·nm),Santa Cruz de Tenerife,,,25/06/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,Yes,,,,14697.35,,45796.58,45121.1,0.0,0.0,675.58,,,,7092.4,117.48,75.47,,,,,366.07,235.17,,,,,,7092.4,,,,,,,,,,,,,,,,
1180,9187887,PACIFIC PRINCESS,Ro-pax ship,2018.0,Not Applicable,Hamilton,,,04/07/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,11517.9,,36476.83,20794.59,6790.74,7422.57,1470.89,,36476.83,,5808.48,177.25,,,,280.65,,561.34,,,,888.82,,,5808.48,,,,,,,,,,,,,,,,
1181,9187899,SIRENA,Passenger ship,2018.0,,Majuro,,,30/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,Yes,,,3812.22,,11916.41,5255.21,2484.34,2592.64,1584.24,,,,1353.57,195.09,,,,309.31,,609.82,,,,966.84,,,1353.57,,,,,,,,,,,,,,,,
1185,9188221,SOMERSET,Ro-ro ship,2018.0,,Hoek van Holland,,,13/06/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,4545.0,,14337.52,14339.72,0.0,0.0,477.69,,,,1123.0,94.14,35.17,,,,,296.98,110.94,,,,,,1123.0,,,,,,,,,,,,,,,,
1186,9188233,SCHIEBORG,Ro-ro ship,2018.0,EIV (20.38 gCO₂/t·nm),Delfzijl,Delfzijl,,28/06/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,,,Yes,,9238.0,,28781.94,28395.86,0.0,0.0,389.77,,,,7025.0,84.92,14.98,,,,,264.56,46.68,,,,,,7025.0,,,,,,,,,,,,,,,,
1187,9188245,SLINGEBORG,Ro-ro ship,2018.0,EIV (20.38 gCO₂/t·nm),Delfzijl,Delfzijl,,28/06/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,,,Yes,,9270.0,,28884.98,28460.23,0.0,0.0,132.6,,,,6770.0,86.35,17.56,,,,,269.07,54.72,,,,,,6770.0,,,,,,,,,,,,,,,,
1189,9188427,OPTIMA SEAWAYS,Ro-pax ship,2018.0,EIV (5.81 gCO₂/t·nm),Klaipeda,,,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,Yes,Yes,,10687.08,,33390.54,30829.74,0.0,0.0,2560.8,33390.54,33390.54,,4745.13,134.95,55.23,,,724.9,,421.63,172.55,,,2264.85,,,4745.13,,,,,,,,,,,,,,,,
1195,9188881,CECILIA PAYNE,Ro-pax ship,2018.0,EIV (65.3 gCO₂/t·nm),Limassol,,,19/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,6217.47,,19933.21,18877.08,0.0,0.0,1056.13,18607.66,1325.55,,1282.0,147.99,,,,2279.13,2279.62,474.45,,,,7306.89,7308.46,,1282.0,,,,,,,,,,,,,,,,
1223,9192129,BOTNIA SEAWAYS,Ro-ro ship,2018.0,EIV (12.3 gCO₂/t·nm),Klaipeda,,,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,6645.55,,20719.56,0.0,9827.76,10449.93,441.88,,,,5077.5,91.1,37.25,,,,,284.04,116.14,,,,,,5077.5,,,,,,,,,,,,,,,,
